"Time
(UTC)",Latitude,Longitude,"Altitude
(feet)","Air
Pressure
Altitude","Air
Temp
at FL
(°C)","Speed
Sound
(knots)",Mach,"TAS
(knots)","Wind
Speed
at FL
(knots)","Wind
From
at FL
(degT)","Track
(degT)","Ground
Speed
(knots)","Heading
(degT)","Distance
(km)","Along-Track
Wind
at FL
(knots)","Cross-Track
Wind
at FL
(knots)","∂SAT
at FL
(°C)","Aircraft
Weight
(kg)","Fuel
(kg)","Fuel
Right
(kg)","Fuel
Left
(kg)","Fuel Rate
Nominal
(kg/sec)","Fuel Rate
Right
(kg/sec)","Fuel Rate
Left
(kg/sec)"
18:00:04,5.539745,99.286134,39665.0,192.097,-56.045699499054,574.017355434154,0.8685,498.534073194563,20.038636290844,84.3310802678667,284.58877317,517.284933706772,285.386200284663,168.128173169104,18.7991435484951,-6.93823797803206,0.453827300946025,211924.968123143,37555.9681231432,18709.4431423535,18846.5249807897,0.907328070611992,0.914133031141582,0.900523110082402
18:01:00,5.5833816013031,99.1594217216559,39665.0,192.097,-55.9953249907127,574.083945927429,0.8685,498.591907037972,19.8291714003461,85.6400069475338,284.576193272533,517.306409343716,285.315677027243,192.877836146805,18.7560284120289,-6.43486104212579,0.504201809287312,211823.347379235,37454.3473792346,18658.2516926096,18796.0956866251,0.907057503008809,0.913860434281376,0.900254571736243
18:02:33,5.630003,98.939589,39665.0,192.097,-55.8974192341869,574.213346294302,0.8388255,481.664797311991,19.5404727744703,87.5694777061842,298.28056306,498.361394167537,299.467745895986,199.800075911792,16.7999894245718,-9.97950056786858,0.602107565813055,211654.634683675,37285.634683675,18573.2626722214,18712.3720114536,0.906635999097527,0.913435769090758,0.899836229104296
18:03:00,5.65940564668536,98.8846654553714,39665.0,192.097,-55.8600314707051,574.262753369545,0.83883,481.708825408975,19.4779776408026,87.999332490737,298.275160813407,498.430062833596,299.443269451281,215.184950517922,16.8213435773257,-9.82008213963445,0.639495329294881,211605.676339724,37236.6763397238,18548.5999064559,18688.0764332678,0.906545412964796,0.913344503562032,0.89974632236756
18:04:00,5.72473529814668,98.7625763116148,39665.0,192.097,-55.7803826630473,574.367993278145,0.83884,481.802847481439,19.3514772258314,88.9641517417646,298.263051756962,498.585781914551,299.389286433189,234.422051936792,16.876010475392,-9.46994937981877,0.719144136952707,211496.890890168,37127.890890168,18493.7992362422,18634.0916539258,0.906333340386398,0.913130840439296,0.899535840333501
18:05:15,5.808147,98.608793,39665.0,192.097,-55.6864148963962,574.492128027341,0.8124,466.717404809412,19.213856876423,90.2092436645729,289.06477618,484.858867651974,289.827108950892,245.646534722935,18.182773443102,-6.2095930611025,0.813111903603848,211360.94088911,36991.94088911,18425.3144232093,18566.6264659007,0.90603148603748,0.912826722182761,0.899236249892199
18:06:00,5.84101072348704,98.5131795077292,39665.0,192.097,-55.6378613004987,574.556258538711,0.8124,466.769504436848,19.1775669134887,90.8396431934977,289.055073026275,484.947546489965,289.790944058982,264.606906129478,18.2165388556129,-5.99472975565044,0.861665499501309,211279.398055367,36910.3980553666,18384.237220711,18526.1608346556,0.905836524412561,0.912630298345655,0.899042750479467
18:07:16,5.897348,98.350858,39665.0,192.097,-55.5596803334634,574.659506404625,0.8435,484.725293652301,19.1292080984549,91.9361871863269,292.2231758,502.622494102522,293.007182393864,275.984045518208,17.9425792574305,-6.63252983896913,0.939846466536588,211141.710903656,36772.7109036559,18314.8773180368,18457.8335856192,0.90552162503914,0.912313037226934,0.898730212851347
18:08:00,5.9359200283769,98.2559205603938,39665.0,192.097,-55.5151347366757,574.71832621032,0.8435,484.774908158405,19.1001533248072,92.6374075160911,292.213389521312,502.728790802289,292.969787208957,291.501607527639,17.9961260520775,-6.39963312611601,0.984392063324324,211062.025000652,36693.0250006525,18274.7355443988,18418.2894562537,0.905323150717472,0.912113074347853,0.898533227087091
18:09:00,5.98850323799746,98.1264116575011,39665.0,192.097,-55.4579389552201,574.793841005072,0.8435,484.838604887778,19.071852752787,93.6101299704248,292.199937097847,502.877263359523,292.918451283673,307.023752390003,18.0767814599541,-6.07992923256929,1.04158784477994,210953.386222566,36584.3862225664,18220.0087599379,18364.3774626285,0.905041473964513,0.911829285019246,0.898253662909779
18:10:00,6.04107155037992,97.9968396456827,39665.0,192.097,-55.424706442104,574.837712873458,0.8435,484.875610808762,18.9890476529867,94.668261583896,292.18635986999,502.95029180849,292.861792734779,322.548151397158,18.1083720404507,-5.71583701762222,1.07482035789604,210844.781245691,36475.7812456907,18165.2990028368,18310.4822428539,0.904685740989938,0.911470884047362,0.897900597932513
18:11:00,6.09361678385501,97.8672237373657,39665.0,192.097,-55.4527664973665,574.800669640077,0.8435,484.844364841405,19.0041351779101,95.7222253084194,292.172659807414,503.040698158966,292.808647561807,338.075340946998,18.2262022802177,-5.3817008743397,1.04676030263347,210736.218956772,36367.2189567719,18110.6107497939,18256.6082069779,0.904140854332676,0.910921910740171,0.897359797925181
18:12:00,6.1461404637864,97.7375592319026,39665.0,192.097,-55.4777513921326,574.767684043306,0.8435,484.816541490529,19.0027525122779,96.8209653488751,292.15883639065,503.11641213117,292.752871998374,362.922583487449,18.3259275699592,-5.02642832869358,1.02177540786745,210627.722054252,36258.7220542519,18055.9554351495,18202.7666191024,0.903605820635171,0.910382864289935,0.896828776980407
