Date,"Time
(UTC)","Decimal Time
(UTC)","Time
Seconds
(UTC)",Channel Name,"Ocean
Region","GES ID
(octal)","Channel
Unit ID",ChannelType,SU Type,BFO(Hz),BTO(us)
7/03/2014,16:01:24.401,16.0234447222222,57684.4009999999,IOR-T1200-0-36D8,IOR,305.0,8.0,T-Channel RX,Subsequent Signalling Unit,88.0,9800.0
7/03/2014,16:01:24.561,16.0234891666667,57684.5610000001,IOR-T1200-0-36D8,IOR,305.0,8.0,T-Channel RX,Subsequent Signalling Unit,88.0,9800.0
7/03/2014,16:01:24.721,16.0235336111111,57684.721,IOR-T1200-0-36D8,IOR,305.0,8.0,T-Channel RX,Subsequent Signalling Unit,88.0,9800.0
7/03/2014,16:01:24.881,16.0235780555556,57684.8810000002,IOR-T1200-0-36D8,IOR,305.0,8.0,T-Channel RX,Subsequent Signalling Unit,86.0,9800.0
7/03/2014,16:01:25.041,16.0236225,57685.041,IOR-T1200-0-36D8,IOR,305.0,8.0,T-Channel RX,Subsequent Signalling Unit,86.0,9800.0
7/03/2014,16:01:25.905,16.0238625,57685.905,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,0x62 - Acknowledge User Data,,
7/03/2014,16:01:26.905,16.0241402777778,57686.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,0x71 - User Data (ISU) - RLS,,
7/03/2014,16:01:26.905,16.0241402777778,57686.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:01:28.906,16.0246961111111,57688.906,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,0x62 - Acknowledge User Data (R-channel),86.0,14800.0
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,0x71 - User Data (ISU) - RLS,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.405,16.1090013888889,57992.405,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.905,16.1091402777778,57992.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.905,16.1091402777778,57992.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.905,16.1091402777778,57992.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.905,16.1091402777778,57992.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
