"Handshake
Time
(UTC)","Hours
(UTC)",At Handshake Time,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Flight Route from Penang,Unnamed: 24,Unnamed: 25,LNAV,Unnamed: 27,Track 180°,Unnamed: 29,Speed Mode LRC,Unnamed: 31,Unnamed: 32,FL390,Unnamed: 34,Unnamed: 35,Flight Model V19.8,Unnamed: 37
,,"Latitude
(°)","Longitude
(°)","Altitude
MSL
(feet)","Flight
Level","Observed
BTO
(µs)","Predicted
BTO
(µs)","BTO
Residual
(µs)","∂BTO
Residuals
= End - Start
(µs)","Observed
BFO
(Hz)","Predicted
BFO
(Hz)","BFO
Error
(Hz)","Predicted
GDAS
SAT
(°C)","Predicted
Local
Sound
Speed
(knots)","Predicted
Mach","Predicted
TAS
(knots)","Track
(degT)","Predicted
GS
(knots)","Heading
(degT)","Predicted
GDAS
Wind
Speed
(knots)","Predicted
GDAS
Wind
From
(degT)","Aircraft
Weight
(kg)","Curved
Path
Length
Lat/Lon
(NM)","Average
Ground
Speed
Lat/Lon
(knots)","1-Min
Leg
Average
Predicted
Mach","1-Min
Leg
Average
GDAS
SAT
(°C)","1-Min
Leg
Average
TAS
(knots)","1-Min
Leg
Average
Heading
(degT)","1-Min
Leg
Average
GDAS
Wind
Speed
(knots)","1-Min
Leg
Average
GDAS
Wind
From
(degT)","1-Min
Leg
Average
Along-Track
Wind
Speed
(knots)","1-Min
Leg
Average
Cross-Track
Wind
Speed
(knots)","Calculated
TAS+ATW
Average
Ground
Speed
(knots)","1-Min
Leg
Average
GS
(knots)","Ground
Speed
Error
(knots)","1-Min
Leg
Average
Track
(degT)","Lateral
Error
(degT)"
17:50:00,,0.188394493770205,93.7206710773683,36000,360,,,,,,,,-40.2,585.356620502531,0.84,490.938597615473,177.200428889296,496.742538742373,174.790943630648,28,235,203167.443034617,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,167.165231618209,135.707421898896,0.83995757935651,-46.3726052583907,492.774137774697,183.97957062407,23.3245290191196,85.323520439699,3.71067335566856,18.5245785679469,496.484811130366,496.132045285537,-360.424623386641,186.132854159701,0
19:41:03,19.6841666666667,8.12667021,93.15257435,35000,360,11500,11500.4085825194,0.408582519444168,,111,111.607948163981,0.607948163981,-46.3828001252146,586.652504524768,0.7925,464.922109835879,215.12616156498,479.964257116842,213.379682376071,20.8226848986886,78.007525139938,200925.97982977,,,,,,,,,,,,,,,
,,,,,,,,,-10.5338323521134,,,,,,,,,,,,,,482.141012909523,481.873573076466,0.833081243571422,-46.264183034274,488.710245871886,176.479576786969,13.1297788850416,78.1971948490793,1.04874430397504,8.48532359808577,489.758990175861,489.641048988902,-7.767475912436,177.477984968082,0
20:41:05,20.6847222222222,-6.55,93.31,35000,360,11740,11729.8747501673,-10.1252498326692,,141,141.000381899393,0.000381899393,-42.0484370320397,592.232520719263,0.835,494.514154800585,219.712409511294,504.059968499537,218.617171882156,13.4982128082235,84.1605892082667,194659.893775996,,,,,,,,,,,,,,,
,,,,,,,,,96.9401034018007,,,,,,,,,,,,,,485.832967691602,482.881888682516,0.835770683256239,-47.0404841946214,489.568621961336,161.805086742859,11.3987498677239,70.4724680897983,0.476524095668357,8.48848437081093,490.045146057004,489.956720779639,-7.074832097123,162.794861327273,0
21:41:27,21.6908333333333,-11.79,94.62,35000,360,12780,12866.8148535691,86.8148535691315,,168,167.733222599148,-0.266777400852,-53.1038982343876,577.89328753295,0.845,488.319827965343,153.2,487.133201414138,151.854758764469,11.5123238512215,68.4432094638764,188562.002502464,,,,,,,,,,,,,,,
,,,,,,,,,-105.567903086475,,,,,,,,,,,,,,479.681970184449,480.348988126559,0.845409836065574,-52.9154873508792,488.765558668398,154.875576185633,8.97322846323808,151.647434249231,-1.61188645603301,0.269198943086745,487.153672212365,487.072132934563,-6.723144808004,154.906982644833,0
22:41:22,22.6894444444444,-18.19,95.97,35000,360,14540,14521.2469504827,-18.7530495173431,,204,202.617549048178,-1.382450951822,-53.5301038813188,577.333357679705,0.845,487.846687239351,150.571443755889,491.478929520199,152.785639236005,19.2671840112116,252.542892084933,182770.853857978,,,,,,,,,,,,,,,
,,,,,,,,,18.7573748523053,,,,,,,,,,,,,,712.656361607654,477.045817549195,0.845,-54.0883318064313,487.225900376271,168.333280465716,51.2078615561436,267.702281529901,18.8916026126049,-26.5874282984581,506.117502988876,504.221333470035,-27.17551592084,164.815915066551,0
24:11:00,24.1833333333333,-28.2573967233333,98.6076886816667,38500,360,18040,18040.004325335,0.0043253349622291,,252,252.000957124024,0.000957124024,-54.9244271103241,575.497751987312,0.845,496.3714,125.122527834883,548.622300792961,130.144405781092,76.3948073746556,271.577164643455,174464.332530585,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,59.0984309805896,272.736813435292,0.845,-50.9692834588737,420.941354448477,267.930610388312,57.4691925876833,294.912198037164,-42.286928351321,6.80836941853874,378.654426097156,378.3144640996,-105.577650664308,267.695568502346,0
