Index,"Seconds
(UTC)",Lat,"Surface
Pressure
(hPa)","Surface
Pressure
(Pa)","Surface
Temp
(°C)","Flight
Level",Calc,"Altitude
(feet)"
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,412.0,177.0247,41470.09
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,411.0,177.8776,41364.27
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,410.0,178.7347,41241.4
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,409.0,179.5958,41152.63
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,408.0,180.4611,41046.82
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,407.0,181.3305,40941.01
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,406.0,182.2042,40835.19
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,405.0,183.082,40729.38
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,404.0,183.9641,40623.56
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,403.0,184.8505,40517.04
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,402.0,185.7411,40729.38
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,401.0,186.636,40306.1
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,400.0,187.5352,40200.29
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,399.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,398.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,397.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,396.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,395.0,192.0966,39665.0
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,394.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,393.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,392.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,391.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,390.0,196.769,39142.13
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,389.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,388.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,387.0,199.67555,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,386.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,385.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,384.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,383.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,382.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,381.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,380.0,206.4575,38083.97
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,379.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,378.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,377.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,376.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,375.0,211.54025,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,374.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,373.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,372.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,371.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,370.0,216.623,37025.82
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,369.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,368.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,367.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,366.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,365.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,364.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,363.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,362.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,361.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,360.0,227.2883,37547.35
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,359.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,358.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,357.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,356.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,355.0,,
