Latitude,Longitude,"Time
(UTC)","Seconds
(UTC)","Wind
Speed
350 hPa
(knots)","Wind
Speed
300 hPa
(knots)","Wind
Speed
250 hPa
(knots)","Wind
Speed
200 hPa
(knots)","Wind
Speed
150 hPa
(knots)","Wind
From
350 hPa
(degT)","Wind
From
300 hPa
(degT)","Wind
From
250 hPa
(degT)","Wind
From
200 hPa
(degT)","Wind
From
150 hPa
(degT)"
15,80,2019-03-09 18:00:00,64800,48.9300835121484,58.840721837808,63.4045007014304,70.5090570999281,67.2030645390122,251.70901011915,250.307978761263,241.627862485817,230.032633984423,234.654977095656
15,80,2019-03-09 21:00:00,75600,49.7491292324062,62.5694525684958,66.340083474514,72.5265025832839,71.8118351627952,253.193540734873,255.057116786492,239.151410708829,231.747898657459,236.481991354748
15,80,2019-03-09 00:00:00,86400,48.3278991436473,59.696284050684,67.3412374253379,71.8875638752041,71.5260818789586,250.253163394574,252.568067397653,233.923988443631,231.146625659647,245.942650549988
15,80,2019-06-28 03:00:00,97200,46.6089161427989,56.9098446092236,65.7746540045187,71.3486260777955,65.3157782572813,244.82431288094,255.156827076971,238.658729856684,232.193470055296,246.868579185373
15,81,2019-03-09 18:00:00,64800,47.0494699971456,56.2658203755335,61.9070984567826,69.2371649878682,63.0459224079416,253.436796142367,249.999982091486,242.308491576035,228.07257022405,234.790896553084
15,81,2019-03-09 21:00:00,75600,46.3047259904832,58.6957355327594,63.0627014157991,72.6280238576348,70.7530023362072,253.162527374324,256.009777228613,241.46001481204,232.394008642598,234.956396849352
15,81,2019-03-09 00:00:00,86400,46.492030430423,58.4812973167479,63.5122743483868,72.6249022422466,71.6340322921,248.154106221722,253.191308373793,235.726294466125,230.430051073012,243.921673105598
15,81,2019-06-28 03:00:00,97200,45.465188810646,55.9509899272649,63.813190653737,67.8045169841402,67.3328203668352,243.325396796746,252.824096384253,238.198120480761,232.571617604454,247.062040499182
15,82,2019-03-09 18:00:00,64800,44.6331416146969,53.9426478228179,58.7841843620485,67.3782599911721,60.5996443292724,252.512002623851,249.540615641076,241.994382257104,226.636577041617,235.851168242998
15,82,2019-03-09 21:00:00,75600,41.6772226706739,53.0559170160273,58.7748633090897,69.0863772546348,69.493460096133,251.22702690114,254.487125672941,242.417970792203,233.581494766945,236.176583344319
15,82,2019-03-09 00:00:00,86400,44.9044907260841,55.0791003838699,58.6667596809464,69.0458926778541,69.5366727782973,247.876190012355,251.053495310491,235.256819841696,233.35592914455,240.712044844503
15,82,2019-06-28 03:00:00,97200,45.0372451047694,55.468752980209,59.9725643882632,66.4422426109342,68.1868397542007,244.430335187248,249.913967038794,234.764557879888,232.727798050502,247.89528059149
15,83,2019-03-09 18:00:00,64800,42.7831296893495,48.6741921338247,54.9489459867022,67.806467395458,57.3147418899716,251.729693768485,246.711274616534,244.432084810257,229.184916125118,235.501485008651
15,83,2019-03-09 21:00:00,75600,40.4487836760612,50.1647477775704,55.5082485187198,67.2235837438359,67.61030945672,252.087490614037,252.407575437818,241.101302399158,230.279280055646,240.92939596291
15,83,2019-03-09 00:00:00,86400,41.6295980230365,51.5122458114821,56.2510443344037,66.4567427293103,68.617985914682,246.906797067402,251.291565046411,237.847704858718,229.507770793401,241.76520250821
15,83,2019-06-28 03:00:00,97200,42.6163246021641,52.8961483445745,57.3516485647462,64.7405280131438,66.2802516549449,245.188353682994,249.567171320601,234.101124285235,234.162347045722,245.389164780282
15,84,2019-03-09 18:00:00,64800,41.0735767165494,44.7780938979832,51.9457662989839,66.2862372671665,54.5056907279869,252.937142826539,244.54734843922,247.561554588044,233.466144128619,230.06361685303
15,84,2019-03-09 21:00:00,75600,38.3016294723849,45.3378549059246,51.7405982236957,65.6375008252498,61.1199237506002,252.576589046447,247.833654177918,241.990823291986,231.976196477045,240.255118703058
15,84,2019-03-09 00:00:00,86400,38.0328462605584,47.6479862971582,54.4054258871095,63.9134768487271,67.9945578189038,246.186176440399,250.456239049318,239.036243467926,230.305985969867,244.607077443857
15,84,2019-06-28 03:00:00,97200,40.252603074355,49.1254539598214,55.9722587415382,63.6543036490726,63.8886418427227,242.692496479261,250.346175941947,239.07036840702,228.962210676468,246.320713066363
15,85,2019-03-09 18:00:00,64800,39.7063248255593,44.612395699024,50.1741621996815,62.700661929187,52.6738818545797,254.671078272694,244.998188327162,248.404689551032,236.506993707351,226.944019024936
