Latitude,Longitude,"Time
(UTC)","Seconds
(UTC)","Air
Temp
350 hPa
(°C)","Air
Temp
300 hPa
(°C)","Air
Temp
250 hPa
(°C)","Air
Temp
200 hPa
(°C)","Air
Temp
150 hPa
(°C)","∂SAT
350 hPa
26,632 ft
(°K)","∂SAT
300 hPa
30,066 ft
(°K)","∂SAT
250 hPa
34,000 ft
(°K)","∂SAT
200 hPa
38,632 ft
(°K)","∂SAT
150 hPa
44,321 ft
(°K)"
15,89,2019-03-09 00:00:00,86400,-23.85,-31.35,-41.95,-53.15,-66.45,13.9133184,13.2167592,10.4108,3.34952680000004,-9.95047319999998
15,89,2019-06-28 03:00:00,97200,-23.85,-31.55,-41.85,-53.25,-66.45,13.9133184,13.0167592,10.5108,3.24952680000004,-9.95047319999998
15,90,2019-03-09 18:00:00,64800,-23.05,-30.95,-41.25,-53.25,-66.15,14.7133184,13.6167592,11.1108,3.24952680000004,-9.65047319999996
15,90,2019-03-09 21:00:00,75600,-23.55,-31.25,-41.55,-53.15,-66.45,14.2133184,13.3167592,10.8108,3.34952680000004,-9.95047319999998
15,90,2019-03-09 00:00:00,86400,-23.65,-31.35,-42.05,-52.75,-66.75,14.1133184,13.2167592,10.3108,3.74952680000004,-10.2504732
15,90,2019-06-28 03:00:00,97200,-23.65,-31.25,-42.05,-52.85,-66.55,14.1133184,13.3167592,10.3108,3.64952680000005,-10.0504732
15,91,2019-03-09 18:00:00,64800,-22.95,-31.05,-41.25,-53.45,-65.55,14.8133184,13.5167592,11.1108,3.04952680000002,-9.05047319999997
15,91,2019-03-09 21:00:00,75600,-23.35,-31.05,-41.45,-53.25,-66.15,14.4133184,13.5167592,10.9108,3.24952680000004,-9.65047319999996
15,91,2019-03-09 00:00:00,86400,-23.55,-31.15,-41.85,-53.05,-66.55,14.2133184,13.4167592,10.5108,3.44952680000003,-10.0504732
15,91,2019-06-28 03:00:00,97200,-23.55,-31.05,-42.05,-52.85,-66.95,14.2133184,13.5167592,10.3108,3.64952680000005,-10.4504732
15,92,2019-03-09 18:00:00,64800,-22.95,-31.15,-41.25,-53.55,-65.45,14.8133184,13.4167592,11.1108,2.94952680000003,-8.95047319999998
15,92,2019-03-09 21:00:00,75600,-23.25,-30.95,-41.25,-53.55,-66.05,14.5133184,13.6167592,11.1108,2.94952680000003,-9.55047319999997
15,92,2019-03-09 00:00:00,86400,-23.55,-31.15,-41.55,-53.35,-66.05,14.2133184,13.4167592,10.8108,3.14952680000005,-9.55047319999997
15,92,2019-06-28 03:00:00,97200,-23.55,-31.15,-41.65,-53.45,-66.55,14.2133184,13.4167592,10.7108,3.04952680000002,-10.0504732
15,93,2019-03-09 18:00:00,64800,-22.85,-31.25,-41.25,-53.65,-65.65,14.9133184,13.3167592,11.1108,2.84952680000004,-9.15047319999996
15,93,2019-03-09 21:00:00,75600,-22.95,-30.95,-41.05,-53.85,-66.25,14.8133184,13.6167592,11.3108,2.64952680000005,-9.75047319999996
15,93,2019-03-09 00:00:00,86400,-23.45,-31.15,-41.45,-53.65,-65.85,14.3133184,13.4167592,10.9108,2.84952680000004,-9.35047319999995
