time,band,tx_sign,tx_lat,tx_lon,rx_sign,rx_lat,rx_lon,frequency,snr,drift,power,distance
2014-03-07 23:12:00,14,001PDC,-33.479167,145.041667,W4MO,27.520833,-82.958333,14097062,-33,0,3,15408
2014-03-07 22:40:00,14,2E0DSS,52.479167,-2.041667,W4AC,26.520833,-82.958333,14097047,-10,0,33,7113
2014-03-07 22:40:00,14,2E0DSS,52.479167,-2.041667,AD4PT,32.979167,-97.125,14097023,-33,0,33,7480
2014-03-07 22:40:00,14,2E0DSS,52.479167,-2.041667,AI4RY,32.604167,-85.458333,14097030,-22,0,33,6773
2014-03-07 22:40:00,14,2E0DSS,52.479167,-2.041667,K4COD,33.104167,-84.458333,14097025,-22,0,33,6668
2014-03-07 22:40:00,14,2E0DSS,52.479167,-2.041667,K9AN,40.104167,-88.125,14097025,-10,0,33,6353
2014-03-07 22:40:00,14,2E0DSS,52.479167,-2.041667,W9HLY,40.8125,-84.958333,14097025,-29,0,33,6103
2014-03-07 22:40:00,14,2E0DSS,52.479167,-2.041667,K4RCG,38.479167,-78.041667,14097035,-18,0,33,5837
2014-03-07 22:40:00,14,2E0DSS,52.479167,-2.041667,VE1AIM,44.770833,-63.708333,14097033,-15,0,33,4470
2014-03-07 22:40:00,14,2E0DSS,52.479167,-2.041667,DK6UG,49.520833,8.208333,14097024,-26,0,33,788
2014-03-07 23:08:00,14,2E0DSS,52.479167,-2.041667,W4AC,26.520833,-82.958333,14097047,-21,0,33,7113
2014-03-07 23:08:00,14,2E0DSS,52.479167,-2.041667,W4MO,27.520833,-82.958333,14097065,-21,0,33,7030
2014-03-07 23:08:00,14,2E0DSS,52.479167,-2.041667,K9AN,40.104167,-88.125,14097025,-12,0,33,6353
2014-03-07 23:08:00,14,2E0DSS,52.479167,-2.041667,VE1AIM,44.770833,-63.708333,14097032,-24,0,33,4470
2014-03-07 23:08:00,14,2E0DSS,52.479167,-2.041667,4X1RF,32.770833,34.958333,14097025,-13,0,33,3674
2014-03-07 23:40:00,14,2E0DSS,52.479167,-2.041667,W4MO,27.520833,-82.958333,14097065,-11,0,33,7030
2014-03-07 23:40:00,14,2E0DSS,52.479167,-2.041667,AD4PT,32.979167,-97.125,14097022,-25,0,33,7480
2014-03-07 23:40:00,14,2E0DSS,52.479167,-2.041667,K4COD,33.104167,-84.458333,14097025,-20,0,33,6668
2014-03-07 23:40:00,14,2E0DSS,52.479167,-2.041667,K9AN,40.104167,-88.125,14097025,-10,0,33,6353
2014-03-07 23:40:00,14,2E0DSS,52.479167,-2.041667,W9HLY,40.8125,-84.958333,14097025,-27,0,33,6103
2014-03-07 23:40:00,14,2E0DSS,52.479167,-2.041667,K4RCG,38.479167,-78.041667,14097035,-24,0,33,5837
2014-03-07 23:40:00,14,2E0DSS,52.479167,-2.041667,W3GXT,39.479167,-76.791667,14097023,-12,0,33,5682
2014-03-07 23:40:00,14,2E0DSS,52.479167,-2.041667,WA3DNM,39.520833,-74.958333,14097024,-23,0,33,5569
2014-03-07 23:40:00,14,2E0DSS,52.479167,-2.041667,VE1AIM,44.770833,-63.708333,14097030,-23,0,33,4470
2014-03-07 23:40:00,14,2E0DSS,52.479167,-2.041667,4X1RF,32.770833,34.958333,14097025,-20,0,33,3674
2014-03-08 00:06:00,14,2E0DSS,52.479167,-2.041667,K9AN,40.104167,-88.125,14097025,-14,0,33,6353
2014-03-08 00:06:00,14,2E0DSS,52.479167,-2.041667,K4RCG,38.479167,-78.041667,14097035,-19,0,33,5837
2014-03-08 00:06:00,14,2E0DSS,52.479167,-2.041667,KC3BWN,39.0625,-77.041667,14097027,-27,0,33,5729
2014-03-08 00:06:00,14,2E0DSS,52.479167,-2.041667,WA3DNM,39.520833,-74.958333,14097024,-24,0,33,5569
2014-03-08 00:06:00,14,2E0DSS,52.479167,-2.041667,VE1AIM,44.770833,-63.708333,14097030,-26,0,33,4470
2014-03-07 22:30:00,14,2E1CJF,53.479167,-2.541667,WQ7Q,47.520833,-122.958333,14097139,-19,0,37,7468
2014-03-07 22:30:00,14,2E1CJF,53.479167,-2.541667,VE6PDQ/1,53.479167,-113.541667,14097123,-17,0,37,6532
2014-03-07 22:30:00,14,2E1CJF,53.479167,-2.541667,W4AC,26.520833,-82.958333,14097142,-9,0,37,7061
2014-03-07 22:30:00,14,2E1CJF,53.479167,-2.541667,KB1SUA,42.229167,-71.875,14097136,-9,0,37,5106
2014-03-07 22:30:00,14,2E1CJF,53.479167,-2.541667,4X1RF,32.770833,34.958333,14097122,-18,0,37,3747
2014-03-07 22:42:00,14,2E1CJF,53.479167,-2.541667,WQ7Q,47.520833,-122.958333,14097139,-20,0,37,7468
2014-03-07 22:42:00,14,2E1CJF,53.479167,-2.541667,AF6CH,39.020833,-119.875,14097114,-20,0,37,8109
2014-03-07 22:42:00,14,2E1CJF,53.479167,-2.541667,W4AC,26.520833,-82.958333,14097143,-8,0,37,7061
2014-03-07 22:42:00,14,2E1CJF,53.479167,-2.541667,W4MO,27.520833,-82.958333,14097160,-5,0,37,6977
2014-03-07 22:42:00,14,2E1CJF,53.479167,-2.541667,AI4RY,32.604167,-85.458333,14097126,-18,0,37,6710
2014-03-07 22:42:00,14,2E1CJF,53.479167,-2.541667,K4EH,33.520833,-84.958333,14097156,-22,0,37,6612
2014-03-07 22:42:00,14,2E1CJF,53.479167,-2.541667,K4COD,33.104167,-84.458333,14097121,-12,0,37,6605
2014-03-07 22:42:00,14,2E1CJF,53.479167,-2.541667,K9AN,40.104167,-88.125,14097121,-3,0,37,6276
