time,band,tx_sign,tx_lat,tx_lon,rx_sign,rx_lat,rx_lon,frequency,snr,drift,power,distance,snr_z,drift_z
2014-03-07 22:42:00,10,7F1GVA,29.521,43.042,G0MQW,51.479,-0.958,10.140185,-1,0,23,4353,,
2014-03-07 22:40:00,14,AA7FV,32.271,-110.708,K6CCA,37.146,-121.625,14.097151,4,0,33,1135,,
2014-03-07 22:40:00,14,AA7FV,32.271,-110.708,AF6CH,39.021,-119.875,14.097143,2,0,33,1117,,
2014-03-07 22:40:00,14,AA7FV,32.271,-110.708,W4AC,26.521,-82.958,14.097172,-18,0,33,2749,,
2014-03-07 22:40:00,14,AA7FV,32.271,-110.708,AD4PT,32.979,-97.125,14.097148,-1,0,33,1274,,
2014-03-07 22:40:00,14,AA7FV,32.271,-110.708,AI4RY,32.604,-85.458,14.097155,-6,0,33,2364,,
2014-03-07 22:40:00,14,AA7FV,32.271,-110.708,KB1MVX,33.521,-84.958,14.097145,-20,0,33,2395,,
2014-03-07 22:40:00,14,AA7FV,32.271,-110.708,K4COD,33.104,-84.458,14.097151,-2,0,33,2452,,
2014-03-07 22:40:00,14,AA7FV,32.271,-110.708,K9AN,40.104,-88.125,14.097151,-16,0,33,2198,,
2014-03-07 22:40:00,14,AA7FV,32.271,-110.708,W9HLY,40.812,-84.958,14.097151,-10,0,33,2477,,
2014-03-07 22:40:00,14,AA7FV,32.271,-110.708,K4RCG,38.479,-78.042,14.097159,-12,0,33,3024,,
2014-03-07 22:40:00,14,AA7FV,32.271,-110.708,W3GXT,39.479,-76.792,14.097148,-9,0,33,3139,,
2014-03-07 22:44:00,14,AA7FV,32.271,-110.708,K6CCA,37.146,-121.625,14.09715,6,0,33,1135,,
2014-03-07 22:44:00,14,AA7FV,32.271,-110.708,AF6CH,39.021,-119.875,14.097144,4,0,33,1117,,
2014-03-07 22:44:00,14,AA7FV,32.271,-110.708,AD4PT,32.979,-97.125,14.097148,3,0,33,1274,,
